ID_Paper,Tipo_Risultato,Testo_Linea_Guida,Topic,Metodi_Estrazione
00001,design recommentation,Adaptation of the voice command grammar to the person’s preferences.,Inclusive and efficient communication and personalization,metodo1 | metodo2
00001,design recommentation,"A feedback strategy based on light or sound indicating whether the system is processing the request or not might decrease this feeling (of non-responsiveness of the system). In any case, the feedback strategy should be adapted to the abilities of the user (e.g., hard of hearing, low vision) and the context of interaction",System status,metodo3
00001,design recommentation,Choosing grammar so that the phonetized possible sentences are as distant from each other as possible,Error prevention and recovery,metodo1
00002,Usability issues,keep output messages or instructions as short as possible. The messages are courteous but hold at most one item of information or ask for only one item of data.,Inclusive and efficient communication and personalization,metodo2 | metodo4
00002,Usability issues,provide context sensitive help and instructions to help the older adult to use the dialogue,Help and documentation,metodo1
00002,Usability issues,Defaults and confirmatory sentences provide positive reinforcements,System status,metodo1
00003,critiques and implications for design,"C) Length and number of keywords per sentence: blind users of VAPA (Voice-activated-personal-assistants)s may be able to interpret and recall prolonged voice responses with more keywords and list items, while using minimal turns.
I) Allow Preferences to Be Defined On-the-fly. we recommend that the length of conversational turns be customizable according to user preference. We can imagine scenarios in which it may be most convenient to make in-line requests for more or less verbose interaction",Inclusive and efficient communication and personalization,metodo2
00003,critiques and implications for design,"C) accomodating different complexity levels in command: theinflexible timeout feature conflicts with this when users have certain disabilities 
I) Allow Custom Voice Commands to be Defined in Advance: Guidelines tended to discourage support for high complexity of commands in favor of more conversational language without need for command memorization. However, prior work suggests that blind users may prefer to accomplish more complex task.we can also imagine using such a feature to define more memorable or pronounceable commands for children or people with intellectual disabilities, cognitive impairments, or speech impediments",User control and freedom,metodo1 | metodo3
00003,critiques and implications for design,"C) Conversation speed: blind people can understand up to 25 syllables per second
I) Allow Preferences to be Defined in Advance (for speed). We can imagine a feature that supports a universal, customizable speech rate",Inclusive and efficient communication and personalization,metodo4
00004,desing dimensions.,"Learning content, goal clarity, interactivity, gamification, conversational prompts, feedback, scaffolding.",System status,metodo1
00004,Design,Conversational prompts: . A good conversational prompt should invite thoughtful responses from the child and move conversation forward,Mapping between system and language conventions,metodo2
00004,Design,"feedback: feedback was broadly defined and refers to how the app followed up after children’s responses. Responsive feedback that temporally and semantically continues the conversation is fundamental for promoting children’s learning. Elaborative feedback may contain multiple components, including praise, extension of children’s responses, explanation of the question, or a further question that provokes deeper thinkin.",System status,metodo1 | metodo3
00004,Design,"Scaffolding: Scaffolding refers to the steps taken to reduce the degrees of freedom in carrying out some task, so that the child can concentrate on the difficult skill he is in the process of acquiring. Scaffolding features from the CAs themselves should be provided to help children avoid communication breakdowns resulting from CAs’ misinterpretation of their speech",Help and documentation,metodo2
00004,recommendations,Encourage less-restricted verbal expressions,Inclusive and efficient communication and personalization,metodo1
00004,recommendations,Provide elaborative feedback,System status,metodo3
00004,recommendations,"Provide scaffolding to support conversation. We propose that future apps provide conversational scaffolding, which may adjust the conversation based on the child’s responses. For example, an app could rephrase the prompt with more accessible language if a child has difficulty responding to the prompt",Help and documentation,metodo1
00004,recommendations,"Introduce a break-down prevention mechanism: in the cases where children fail to respond to the scaffolding prompts, the apps could provide a default fallback response to keep the app going",Error prevention and recovery,metodo4
00005,design considerations,include consistency of specific keyword: inconsistent voice commands affect the overall learnability and usability of using the VUI.,System status,metodo2
00005,design considerations,"improve cognitive accessibility by confirming user input: if user forgets to say the “exact” keywords, the assistant should predict the input request and verify it from the user and by incorporating contextual cues (e.g., location of the user, recently asked requests by the user) into the conversation design where possible",System status,metodo1 | metodo2
00005,design considerations,"expand feedback beyond predefined responses (I don't understand ecc) when the system fails to perform the requested task (e.g., answer a question), it should provide more specific feedback that can aid troubleshooting",Error prevention and recovery,metodo3
00006,design considerations,"Support sequence expansions and command queues: performing a single command multiple times like """"again"""" or chaining in one utterance multiple commands",User control and freedom,metodo1
00006,design considerations,Support Iterative Refinements of Commands: Users often need multiple tries to find the intended navigation target. Support for descriptive commands and keyword search in transcripts.,Error prevention and recovery,metodo2
00006,design considerations,"Support Interactions with User Context: Designing voice commands for how-to videos is not about supporting a single command, but understanding the higher level user intent behind the utterance is crucial (Pause, reference jump, skip, replay...). One possible solution in distinguishing them is to set up the command vocabulary such that each intent has its unique keyword.",System status,metodo1 | metodo4
00007,design guidelines,"GUIDELINES FOR AN EFFECTIVE VUI
Personalisation: The system should be customisable for the individual user
Error Prevention: Errors and communication breakdowns can be avoided by guiding the user to attain objectives quickly while interacting with the system. The dialogue control should be passed to the system whenever it is recognised that the user has difficulties.",Inclusive and efficient communication and personalization,metodo3
